#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
Kepler-1118 b,,,38.671508,2.677412,0.592542,0.220795,0.008433,18.20114,7.599571,0.96,0.11,0.97,0.17,5688.0,303.78
Kepler-1135 b,,,76.957857,1.810545,0.318217,0.349325,0.004852,6.676173,2.442103,0.96,0.05,0.94,0.17,5656.0,72.91
Kepler-1185 b,,,104.351898,1.305787,0.076811,0.427952,0.002972,3.719686,0.253019,0.96,0.02,0.87,0.02,5622.0,67.7
Kepler-1211 b,,,11.018168,2.490871,0.406001,0.095602,0.001992,92.265074,27.010842,0.96,0.07,0.94,0.13,5705.0,123.21
Kepler-1243 b,,,16.832073,1.711788,0.274325,0.12681,0.002202,51.057161,16.896887,0.96,0.06,0.94,0.15,5667.0,139.83
Kepler-1287 b,,,11.476859,1.503301,0.21946,0.098237,0.001706,87.995707,25.203764,0.96,0.06,0.94,0.13,5715.0,93.97
Kepler-1380 b,,,10.310824,1.404544,0.252379,0.091465,0.001588,91.591858,31.626221,0.96,0.05,0.94,0.16,5570.0,82.2
Kepler-1381 b,,,25.384269,2.205573,0.285298,0.166765,0.002895,31.225246,7.608935,0.96,0.07,0.94,0.11,5747.0,83.75
Kepler-1458 b,,,47.987276,2.699358,0.406001,0.254964,0.004426,12.505712,3.896941,0.96,0.05,0.94,0.14,5653.0,136.13
Kepler-1463 b,,,25.15864,1.821518,0.318217,0.165775,0.002878,30.774432,10.618002,0.96,0.06,0.95,0.16,5679.0,125.8
Kepler-1494 b,,,91.080482,3.006602,0.559623,0.390851,0.006786,5.344236,1.525564,0.96,0.06,0.94,0.13,5659.0,107.31
Kepler-1497 b,,,8.741998,1.624004,0.285298,0.081935,0.001991,125.622663,45.032563,0.96,0.07,0.95,0.16,5675.0,169.0
Kepler-1522 b,,,1.847889,1.689842,0.230433,0.029074,0.000606,977.154669,270.959347,0.96,0.06,0.93,0.12,5706.0,131.97
Kepler-1588 b,,,7.849317,0.746164,0.10973,0.076258,0.001059,173.858407,43.22814,0.96,0.05,0.99,0.12,5817.0,69.45
Kepler-1612 b,,,3.917951,1.009516,0.175568,0.047984,0.000833,350.581352,122.769899,0.96,0.05,0.94,0.16,5643.0,130.31
Kepler-1625 b,,,287.378949,5.936393,0.855894,0.840811,0.017517,1.169579,0.338911,0.96,0.06,0.94,0.13,5677.0,162.14
Kepler-427 b,,,10.290994,13.49679,2.30433,0.091,0.01,224.383768,83.483246,0.96,0.06,1.35,0.2,5800.0,70.0
Kepler-468 b,,,38.478757,13.05787,0.318217,0.220061,0.001528,12.866714,0.840832,0.96,0.03,0.87,0.02,5498.0,68.06
Kepler-484 b,,,10.045569,2.227519,0.065838,0.08989,0.000624,87.102383,5.363735,0.96,0.03,0.87,0.02,5668.0,54.61
Kepler-518 b,,,8.512036,2.062924,0.043892,0.080492,0.000559,125.431091,7.74839,0.96,0.02,0.88,0.02,5842.0,57.63
Kepler-559 b,,,17.587523,3.533306,0.625461,0.130576,0.003174,47.9122,18.603903,0.96,0.07,0.95,0.17,5630.0,200.63
Kepler-561 b,,,58.36205,6.814233,1.185084,0.290502,0.007061,9.585543,3.504881,0.96,0.07,0.94,0.16,5646.0,189.65
Kepler-561 c,,,5.350162,2.622547,0.416974,0.059062,0.001436,231.900419,84.792626,0.96,0.07,0.94,0.16,5646.0,189.65
Kepler-585 b,,,2.75236,2.765196,0.537677,0.03792,0.00079,530.285578,208.994899,0.96,0.06,0.93,0.18,5593.0,85.61
Kepler-683 b,,,2.539183,1.931248,0.32919,0.035936,0.000749,666.050091,235.452728,0.96,0.06,0.95,0.16,5703.0,149.37
Kepler-767 b,,,161.52801,6.496016,0.844921,0.572656,0.01193,2.551722,0.722224,0.96,0.06,0.94,0.12,5694.0,163.45
Kepler-797 b,,,27.072377,2.128762,0.416974,0.174079,0.006044,27.928242,12.197717,0.96,0.1,0.95,0.18,5680.0,292.15
Kepler-856 b,,,8.027681,9.10759,1.228976,0.077408,0.001075,122.054705,32.268449,0.96,0.04,0.93,0.12,5535.0,84.49
Kepler-858 b,,,76.13602,4.762282,0.230433,0.346834,0.004817,6.333592,0.672312,0.96,0.04,0.91,0.04,5653.0,74.35
Kepler-863 b,,,15.594619,2.842007,0.669353,0.120516,0.004603,58.188075,30.263852,0.96,0.11,0.95,0.22,5678.0,317.91
Kepler-948 b,,,7.768466,1.810545,0.406001,0.075733,0.001841,144.366927,52.735193,0.96,0.07,0.94,0.16,5679.0,174.93
Kepler-961 b,,,16.877274,2.490871,0.10973,0.127037,0.001323,43.901516,3.501225,0.96,0.03,0.9,0.03,5582.0,55.83
Kepler-984 b,,,43.034227,2.073897,0.131676,0.237103,0.003293,13.728937,1.782761,0.96,0.04,0.93,0.05,5610.0,94.38
Kepler-986 b,,,56.434994,2.315303,0.285298,0.284071,0.003945,10.864875,2.738227,0.96,0.04,0.98,0.12,5642.0,74.24
WASP-34 b,,,4.31768,10.973,0.87784,0.051195,0.007999,300.482956,109.787353,0.96,0.45,0.91,0.08,5650,100.0
WASP-5 b,,,1.628428,11.927651,0.779083,0.0267,0.0012,1415.292026,230.730633,0.96,0.13,1.03,0.07,5650,100.0
CoRoT-29 b,,,2.85057,9.8757,1.75568,0.0386,0.0059,374.928191,154.744189,0.97,0.14,0.9,0.12,5260.0,100.0
EPIC 220674823 b,,,0.571331,1.777626,0.098757,0.0134,0.0002,4796.836993,380.96981,0.97,0.04,0.98,0.02,5617.0,86.0
EPIC 220674823 c,,,13.339079,2.677412,0.175568,0.1091,0.0015,72.362749,5.640259,0.97,0.04,0.98,0.02,5617.0,86.0
HATS-14 b,,,2.766764,11.400947,0.351136,0.03815,0.00032,437.307918,28.160629,0.97,0.02,0.93,0.02,5346.0,60.0
HATS-16 b,,,2.686502,14.2649,1.64595,0.03744,0.00045,1071.293762,184.39104,0.97,0.04,1.24,0.13,5738.0,79.0
K2-202 b,,,3.405164,2.249465,0.175568,0.043852,0.000452,352.702945,42.156641,0.97,0.03,0.91,0.05,5491.0,58.0
K2-6 b,,,30.94191,2.446979,0.866867,0.1898,0.0056,26.994061,8.16406,0.97,0.07,0.96,0.14,5850.0,98.0
K2-60 b,,,3.00265,7.494559,0.406001,0.045,0.003,510.68898,89.972576,0.97,0.07,1.12,0.05,5500.0,100.0
K2-7 b,,,28.67992,2.611574,0.54865,0.1814,0.0043,28.007084,10.104747,0.97,0.06,0.96,0.17,5772.0,91.0
Kepler-1127 b,,,5.123303,1.920275,0.406001,0.057579,0.000791,252.412768,81.597404,0.97,0.05,0.95,0.15,5664.0,137.31
Kepler-1142 b,,,18.302725,1.437463,0.416974,0.134557,0.002312,47.901368,24.236052,0.97,0.06,0.96,0.24,5685.0,132.1
Kepler-1227 b,,,94.288758,2.238492,0.504758,0.401361,0.008275,5.506006,1.802046,0.97,0.07,0.95,0.15,5747.0,151.11
Kepler-1253 b,,,68.886192,1.305787,0.175568,0.325574,0.006713,12.044918,3.366343,0.97,0.06,1.1,0.15,5850.0,65.89
Kepler-1305 b,,,13.563097,1.843464,0.340163,0.110188,0.002272,72.239163,26.692481,0.97,0.06,0.96,0.17,5701.0,175.79
Kepler-1330 b,,,10.107691,1.613031,0.395028,0.090573,0.001556,95.981981,47.427197,0.97,0.05,0.94,0.23,5608.0,112.79
Kepler-1399 b,,,1.638653,1.228976,0.21946,0.026929,0.000555,1238.600854,427.188283,0.97,0.06,0.96,0.16,5735.0,112.36
Kepler-1425 b,,,14.45413,0.921732,0.186541,0.114963,0.002765,65.766657,23.710354,0.97,0.07,0.95,0.16,5718.0,173.56
Kepler-1438 b,,,2.31942,0.921732,0.186541,0.033948,0.000583,673.764839,269.121118,0.97,0.05,0.96,0.19,5530.0,67.02
Kepler-1447 b,,,56.674728,2.842007,0.493785,0.285861,0.004912,10.666549,3.701408,0.97,0.06,0.95,0.16,5722.0,108.69
Kepler-1453 b,,,47.16117,2.611574,0.427947,0.252902,0.003476,12.818794,4.152246,0.97,0.05,0.94,0.15,5665.0,70.11
Kepler-1523 b,,,0.938751,1.547193,0.263352,0.018575,0.000447,2554.558309,901.274002,0.97,0.07,0.96,0.16,5708.0,158.59
Kepler-1556 b,,,8.827135,1.920275,0.395028,0.082751,0.001422,117.442189,47.504094,0.97,0.05,0.95,0.19,5608.0,91.9
Kepler-1572 b,,,5.495486,0.921732,0.186541,0.060335,0.000829,222.503694,89.766406,0.97,0.04,0.95,0.19,5618.0,70.62
Kepler-1631 b,,,4.095139,1.31676,0.197514,0.049592,0.000852,343.885883,97.991794,0.97,0.06,0.95,0.13,5679.0,148.91
Kepler-1638 b,,,259.33683,1.832491,0.318217,0.7879,0.013538,1.392336,0.509409,0.97,0.06,0.95,0.17,5710.0,111.43
Kepler-18 b,,,3.504725,1.953194,0.098757,0.0447,0.0006,453.436483,54.482962,0.97,0.04,1.11,0.05,5345.0,100.0
Kepler-18 c,,,7.64159,5.37677,0.252379,0.0752,0.0011,160.212289,19.34033,0.97,0.04,1.11,0.05,5345.0,100.0
Kepler-18 d,,,14.85888,6.836179,0.318217,0.1172,0.0017,65.959337,7.958504,0.97,0.04,1.11,0.05,5345.0,100.0
Kepler-22 b,,,289.8623,2.326276,0.131676,0.849,0.018,1.112905,0.074501,0.97,0.06,0.98,0.02,5518.0,44.0
Kepler-530 b,,,39.309419,2.951737,0.164595,0.223989,0.002309,14.983294,1.212408,0.97,0.03,0.89,0.03,5697.0,56.57
Kepler-575 b,,,9.378919,2.337249,0.504758,0.086165,0.001777,116.419521,31.234162,0.97,0.06,0.95,0.12,5710.0,145.72
Kepler-591 b,,,81.16943,3.313846,0.537677,0.363209,0.004993,6.267762,1.766509,0.97,0.04,0.94,0.13,5677.0,71.43
Kepler-597 b,,,13.023659,2.315303,0.318217,0.107247,0.001474,73.736933,10.187971,0.97,0.04,0.95,0.06,5683.0,69.29
Kepler-649 b,,,29.907227,2.216546,0.131676,0.186672,0.002566,27.14191,3.726549,0.97,0.05,0.94,0.06,5871.0,62.24
Kepler-652 b,,,4.182003,2.436006,0.054865,0.05029,0.000346,250.599522,14.27907,0.97,0.02,0.88,0.02,5490.0,43.22
Kepler-671 b,,,4.280959,2.63352,0.482812,0.051081,0.000878,311.753732,113.309559,0.97,0.05,0.95,0.17,5624.0,91.38
Kepler-694 b,,,6.365842,2.74325,0.504758,0.066548,0.001143,193.810261,59.441937,0.97,0.06,0.95,0.14,5650,116.69
Kepler-704 b,,,3.761821,2.556709,0.592542,0.046863,0.000644,376.089529,173.941669,0.97,0.05,0.96,0.22,5616.0,102.76
Kepler-708 b,,,3.167892,2.863953,0.625461,0.04179,0.000862,499.052372,224.614778,0.97,0.06,0.96,0.21,5692.0,151.78
Kepler-869 b,,,40.428776,3.533306,0.812002,0.228221,0.003921,16.0666,7.506773,0.97,0.05,0.95,0.22,5664.0,95.26
Kepler-888 b,,,70.697906,1.722761,0.076811,0.331258,0.003415,7.922806,0.658638,0.97,0.03,0.9,0.03,5875.0,66.36
Kepler-940 b,,,59.622526,3.269954,0.691299,0.295689,0.007113,10.518861,2.950024,0.97,0.07,0.96,0.12,5769.0,169.66
Kepler-945 b,,,31.003381,2.578655,0.460866,0.191206,0.003285,24.786349,8.971347,0.97,0.06,0.97,0.17,5718.0,119.29
Kepler-987 b,,,105.303315,3.193143,0.153622,0.432039,0.004454,4.035742,0.343137,0.97,0.03,0.91,0.03,5637.0,69.85
WASP-163 b,,,1.609688,13.189546,1.064381,0.0266,0.0014,1188.570488,269.601638,0.97,0.15,1.01,0.07,5500.0,200.0
HAT-P-51 b,,,4.218028,14.188089,0.592542,0.05069,0.00049,334.33669,29.219793,0.98,0.03,1.04,0.04,5449.0,50.0
K2-160 b,,,3.705871,3.116332,0.208487,0.046556,0.000317,350.523412,33.560894,0.98,0.03,0.91,0.04,5649.0,50.0
K2-185 b,,,10.616646,1.283841,0.21946,0.093908,0.000958,90.690005,8.777147,0.98,0.03,0.91,0.04,5722.0,50.0
K2-187 b,,,0.77392,1.272868,0.131676,0.0164,0.0002,2564.32138,198.230557,0.98,0.04,0.92,0.02,5484.0,81.0
K2-187 c,,,2.872042,1.766653,0.131676,0.0392,0.0005,448.836343,34.858405,0.98,0.04,0.92,0.02,5484.0,81.0
K2-187 d,,,7.14921,3.105359,0.175568,0.072,0.0009,133.043958,10.310623,0.98,0.04,0.92,0.02,5484.0,81.0
K2-187 e,,,13.609878,2.326276,0.175568,0.1106,0.0013,56.383223,4.343174,0.98,0.04,0.92,0.02,5484.0,81.0
KIC 3558849 b,,,1322.3,6.759368,0.976597,2.34207,0.087628,0.243605,0.062054,0.98,0.11,1.01,0.11,6175.0,194.0
KIC 5951458 b,,,1320.1,6.463097,25.742658,2.339471,0.167105,0.583296,0.637994,0.98,0.21,1.52,0.82,6258.0,183.0
KIC 9663113 b,,,572.3847,4.49893,0.680326,1.340207,0.059261,0.720027,0.193959,0.98,0.13,1.03,0.12,6065.0,180.0
Kepler-1035 b,,,2.714078,1.141192,0.274325,0.037826,0.000772,653.496531,315.346019,0.98,0.06,0.97,0.23,5763.0,121.15
Kepler-1040 b,,,201.1214,2.040978,0.175568,0.667348,0.00908,1.95976,0.272867,0.98,0.04,0.96,0.06,5694.0,78.24
Kepler-1055 b,,,2.295036,1.20703,0.065838,0.033825,0.000345,746.39085,76.489755,0.98,0.04,0.94,0.04,5723.0,76.28
Kepler-1066 b,,,1.93156,2.315303,0.493785,0.030152,0.001128,1049.065539,483.022732,0.98,0.11,0.98,0.2,5762.0,287.38
Kepler-1144 b,,,17.146473,1.953194,0.296271,0.12927,0.002198,54.427941,16.356649,0.98,0.06,0.96,0.14,5753.0,91.93
Kepler-1177 b,,,106.247547,1.86541,0.153622,0.436106,0.00445,4.744671,0.722574,0.98,0.04,0.97,0.07,5712.0,66.68
Kepler-1196 b,,,66.184903,2.183627,0.362109,0.318092,0.006492,9.196369,2.985675,0.98,0.06,0.97,0.15,5756.0,149.1
Kepler-1240 b,,,4.866382,1.130219,0.197514,0.055828,0.000949,277.677607,95.20467,0.98,0.05,0.96,0.16,5682.0,116.7
Kepler-1306 b,,,16.295954,1.86541,0.43892,0.124959,0.002975,58.400177,27.246683,0.98,0.07,0.97,0.22,5727.0,140.59
Kepler-1372 b,,,1.311556,1.239949,0.427947,0.023294,0.000396,1622.700839,875.993967,0.98,0.05,0.97,0.26,5677.0,103.14
Kepler-1376 b,,,5.308807,1.031462,0.208487,0.059162,0.000805,248.375099,93.110435,0.98,0.04,0.97,0.18,5659.0,77.43
Kepler-1390 b,,,6.480217,1.152165,0.241406,0.067573,0.001609,207.576706,87.713488,0.98,0.07,0.98,0.2,5753.0,169.25
Kepler-1440 b,,,39.859484,1.228976,0.230433,0.226848,0.003086,17.0082,6.093785,0.98,0.05,0.96,0.17,5698.0,68.65
Kepler-1476 b,,,10.358632,1.634977,0.362109,0.092381,0.001257,100.060001,42.056712,0.98,0.05,0.96,0.2,5663.0,77.19
Kepler-29 b,,,10.3384,3.280927,0.21946,0.09226,0.001569,96.701667,14.64256,0.98,0.05,0.93,0.06,5701.0,102.0
Kepler-29 c,,,13.2884,3.07244,0.197514,0.109067,0.001855,69.195016,10.477505,0.98,0.05,0.93,0.06,5701.0,102.0
Kepler-418 b,,,86.67856,13.1676,1.75568,0.380763,0.010361,8.470929,2.299246,0.98,0.08,1.09,0.14,5820.0,100.0
Kepler-458 c,,,20.740284,4.114875,0.614488,0.146754,0.006489,60.050009,16.176147,0.98,0.13,1.03,0.12,6065.0,180.0
Kepler-461 b,,,8.313783,2.52379,0.065838,0.079783,0.000543,118.091938,6.530332,0.98,0.03,0.91,0.02,5634.0,45.6
Kepler-498 b,,,9.613754,2.96271,0.493785,0.087897,0.001794,116.988872,41.012671,0.98,0.06,0.96,0.16,5744.0,144.47
Kepler-612 b,,,3.722156,2.776169,0.647407,0.046692,0.000794,400.051638,144.702173,0.98,0.05,0.96,0.17,5693.0,129.13
Kepler-613 b,,,15.779796,2.238492,0.395028,0.122306,0.00208,59.5439,21.377439,0.98,0.05,0.96,0.17,5723.0,68.68
Kepler-616 b,,,9.997619,2.381141,0.318217,0.090222,0.001841,114.075897,32.683608,0.98,0.06,0.97,0.13,5753.0,133.18
Kepler-616 c,,,90.411356,3.335792,0.559623,0.391617,0.007992,6.054691,1.734715,0.98,0.06,0.97,0.13,5753.0,133.18
Kepler-63 b,,,9.43415,5.980285,0.197514,0.08,0.002,110.227718,10.000369,0.98,0.04,0.9,0.03,5576.0,50.0
Kepler-688 b,,,3.895937,9.557483,1.722761,0.048134,0.001146,382.290235,142.578014,0.98,0.07,0.96,0.17,5715.0,199.21
Kepler-700 b,,,80.872064,5.859582,0.888813,0.363562,0.004946,6.593849,2.099438,0.98,0.05,0.96,0.15,5692.0,115.63
Kepler-713 b,,,7.411141,2.425033,0.493785,0.073899,0.002765,181.094566,81.501929,0.98,0.11,0.99,0.2,5785.0,265.49
Kepler-772 b,,,12.992073,1.777626,0.362109,0.10744,0.001462,102.511037,41.018585,0.98,0.04,1.11,0.22,5714.0,85.03
Kepler-782 b,,,158.685331,3.138278,0.460866,0.56982,0.009691,3.353717,0.885464,0.98,0.05,1.01,0.13,5867.0,70.1
Kepler-793 b,,,4.241536,1.338706,0.274325,0.05094,0.001213,355.856045,152.049936,0.98,0.07,0.97,0.2,5745.0,198.84
Kepler-823 b,,,4.168091,1.53622,0.307244,0.050351,0.000856,332.099417,128.319939,0.98,0.05,0.96,0.18,5643.0,122.3
Kepler-829 b,,,6.883376,2.062924,0.427947,0.070347,0.001196,180.564748,75.633874,0.98,0.06,0.97,0.2,5698.0,120.29
Kepler-838 b,,,15.74958,2.677412,0.493785,0.12215,0.002077,61.681571,17.088368,0.98,0.06,0.96,0.13,5770.0,68.34
Kepler-903 b,,,10.350772,1.964167,0.351136,0.092334,0.00157,103.63817,36.93763,0.98,0.05,0.97,0.17,5682.0,110.73
Kepler-903 c,,,62.922856,2.479898,0.43892,0.307552,0.00523,9.341261,3.329314,0.98,0.05,0.97,0.17,5682.0,110.73
Kepler-981 b,,,4.469758,2.260438,0.296271,0.052752,0.000718,318.964317,82.08936,0.98,0.05,0.96,0.12,5718.0,82.87
WASP-135 b,,,1.401379,14.2649,0.98757,0.0243,0.0005,1458.438407,174.603224,0.98,0.06,0.96,0.05,5675.0,60.0
WASP-69 b,,,3.86814,12.18003,0.43892,0.047905,0.002281,141.683877,17.780375,0.98,0.14,0.86,0.03,4650,50.0
WASP-74 b,,,2.13775,14.92328,1.0973,0.032261,0.002634,2247.034645,511.85379,0.98,0.24,1.42,0.1,5990.0,110.0
HAT-P-17 b,,,10.33852,11.52165,0.43892,0.092574,0.004675,60.265591,9.015588,0.99,0.15,0.87,0.04,5246.0,80.0
HATS-25 b,,,4.298643,13.82598,1.0973,0.05163,0.0006,444.223323,61.326251,0.99,0.04,1.11,0.07,5715.0,73.0
K2-105 b,,,8.267704,3.302873,0.120703,0.0796,0.0007,104.952822,5.8025,0.99,0.03,0.91,0.01,5464.0,65.0
K2-161 b,,,9.283188,5.991258,1.602058,0.086162,0.002321,489.842876,122.675558,0.99,0.08,2.57,0.31,4972.0,50.0
K2-169 b,,,6.380803,1.250922,0.10973,0.067107,0.000678,160.429149,18.65564,0.99,0.03,0.92,0.05,5548.0,50.0
K2-181 b,,,6.894256,2.776169,0.197514,0.0706,0.001,204.684466,16.391337,0.99,0.04,1.07,0.02,5608.0,91.0
K2-294 b,,,2.50387,1.624004,0.208487,0.035969,0.000363,994.671567,219.330442,0.99,0.03,1.2,0.13,5612.0,50.0
Kepler-1016 b,,,1.954524,2.128762,0.362109,0.030494,0.000821,1112.409145,406.241593,0.99,0.08,1.0,0.17,5821.0,177.41
Kepler-1016 c,,,105.655137,3.599144,0.636434,0.435957,0.011743,5.442501,1.987551,0.99,0.08,1.0,0.17,5821.0,177.41
Kepler-1060 b,,,46.877937,2.326276,0.43892,0.253607,0.006831,15.504385,6.313707,0.99,0.08,0.99,0.19,5797.0,198.61
Kepler-1069 b,,,23.89903,1.569139,0.307244,0.161846,0.002725,35.410507,12.537158,0.99,0.05,0.98,0.17,5722.0,104.94
Kepler-1092 b,,,58.601792,2.030005,0.362109,0.2943,0.008918,12.282808,4.772625,0.99,0.09,1.0,0.18,5862.0,195.01
Kepler-1098 b,,,2.543073,1.272868,0.230433,0.036343,0.001224,753.416071,298.298067,0.99,0.1,0.99,0.18,5794.0,216.42
Kepler-1216 b,,,4.370345,1.360652,0.21946,0.052143,0.000702,346.190652,107.858202,0.99,0.05,0.98,0.15,5743.0,77.97
Kepler-1250 b,,,2.607544,1.876383,0.43892,0.036955,0.000622,676.82807,306.603249,0.99,0.05,0.98,0.22,5717.0,82.51
Kepler-1258 b,,,0.98494,0.844921,0.131676,0.01931,0.000325,2752.580872,852.419509,0.99,0.06,0.99,0.15,5839.0,79.16
Kepler-1262 b,,,8.679002,1.777626,0.318217,0.082381,0.001664,141.413965,50.389602,0.99,0.06,0.98,0.17,5771.0,103.42
Kepler-1264 b,,,0.968526,1.152165,0.21946,0.019095,0.000386,2668.785187,1006.607849,0.99,0.06,0.98,0.18,5791.0,145.15
Kepler-1294 b,,,115.686226,3.127305,0.526704,0.463131,0.010916,4.398848,1.537756,0.99,0.07,0.97,0.16,5776.0,152.5
Kepler-1297 b,,,1.68189,0.954651,0.153622,0.027588,0.000557,1329.323645,439.695806,0.99,0.06,0.99,0.16,5818.0,92.17
Kepler-1312 b,,,5.448325,2.051951,0.076811,0.060398,0.00061,223.615,18.959806,0.99,0.03,0.92,0.03,5719.0,71.88
Kepler-1369 b,,,25.873148,2.63352,0.406001,0.170641,0.003447,33.403486,10.665552,0.99,0.06,0.99,0.15,5761.0,132.7
Kepler-1479 b,,,14.532614,1.788599,0.296271,0.116166,0.001956,72.360732,24.042406,0.99,0.06,0.98,0.16,5796.0,79.45
Kepler-1513 b,,,160.884651,8.284615,1.349679,0.577022,0.0136,2.534373,0.902828,0.99,0.07,0.97,0.16,5617.0,176.78
Kepler-1548 b,,,124.828679,2.589628,0.526704,0.487221,0.006562,3.785416,1.495947,0.99,0.05,0.97,0.19,5706.0,77.25
Kepler-1599 b,,,122.363553,1.591085,0.318217,0.480785,0.009713,4.225353,1.572208,0.99,0.06,0.99,0.18,5767.0,125.25
Kepler-30 b,,,29.33434,3.818604,0.197514,0.185538,0.004998,21.582081,5.639013,0.99,0.08,0.95,0.12,5498.0,54.0
Kepler-30 c,,,60.323105,12.037381,0.395028,0.300035,0.008082,8.253095,2.156387,0.99,0.08,0.95,0.12,5498.0,54.0
Kepler-30 d,,,143.34394,8.613805,0.493785,0.53428,0.014391,2.602691,0.680037,0.99,0.08,0.95,0.12,5498.0,54.0
Kepler-474 b,,,5.660673,2.995629,0.471839,0.061958,0.001043,306.595524,99.034644,0.99,0.05,1.08,0.17,5785.0,97.56
Kepler-573 b,,,22.183297,2.732277,0.351136,0.154005,0.001556,43.08145,11.159476,0.99,0.04,1.02,0.13,5746.0,59.48
Kepler-576 b,,,29.911368,3.204116,0.822975,0.187964,0.003164,24.833366,12.430215,0.99,0.06,0.97,0.24,5672.0,141.61
Kepler-579 b,,,9.668577,1.953194,0.340163,0.08853,0.001788,106.890368,37.332064,0.99,0.06,0.96,0.16,5636.0,185.6
Kepler-670 b,,,2.816505,12.904248,2.874926,0.038904,0.000655,619.762775,278.955082,0.99,0.06,0.99,0.22,5709.0,134.39
Kepler-719 b,,,5.007318,8.33948,1.788599,0.057093,0.001538,295.653947,134.07288,0.99,0.08,0.98,0.21,5777.0,220.79
Kepler-806 b,,,8.092196,1.119246,0.318217,0.078625,0.001853,217.366664,128.150343,0.99,0.07,1.16,0.34,5770.0,67.82
Kepler-809 b,,,55.63934,2.951737,0.65838,0.284296,0.003829,11.572732,4.3092,0.99,0.05,0.98,0.18,5734.0,78.27
Kepler-831 b,,,5.621539,1.239949,0.098757,0.061672,0.000831,240.596948,37.475772,0.99,0.04,0.97,0.07,5732.0,74.53
Kepler-857 b,,,85.351294,6.660611,1.667896,0.378143,0.008912,6.858967,3.529901,0.99,0.07,0.99,0.25,5773.0,173.8
Kepler-927 b,,,9.11499,1.678869,0.395028,0.085118,0.001433,132.580495,62.26927,0.99,0.05,0.99,0.23,5743.0,106.02
Kepler-98 b,,,1.54168,1.953194,0.21946,0.026032,0.000526,1541.8473,348.747424,0.99,0.06,1.11,0.12,5539.0,73.0
CoRoT-5 b,,,4.037896,15.230524,0.515731,0.04947,0.00029,721.812091,57.955087,1.0,0.02,1.19,0.04,6100.0,65.0
HAT-P-15 b,,,10.8635,11.63138,0.76811,0.096003,0.00736,107.569834,22.770987,1.0,0.23,1.07,0.07,5568.0,90.0
HATS-4 b,,,2.516729,11.19246,0.406001,0.0362,0.0002,506.737841,29.295586,1.0,0.02,0.93,0.02,5403.0,50.0
HD 119130 b,,,16.9841,2.578655,0.10973,0.13,0.01,68.03979,11.538954,1.0,0.03,1.09,0.03,5725.0,65.0
K2-140 b,,,6.56918,11.993489,0.164595,0.0687,0.0005,198.18657,8.522002,1.0,0.02,0.99,0.01,5705.0,50.0
K2-197 b,,,8.357881,2.501844,0.153622,0.0806,0.0007,123.709592,6.009952,1.0,0.02,0.93,0.01,5667.0,58.0
K2-215 b,,,8.269648,2.073897,0.252379,0.080038,0.0008,140.076269,26.601415,1.0,0.03,0.97,0.09,5704.0,50.0
K2-222 b,,,15.387063,2.337249,0.131676,0.1211,0.0017,98.305201,7.289379,1.0,0.04,1.09,0.02,6058.0,89.0
Kepler-1005 b,,,6.498015,1.470382,0.208487,0.068154,0.000909,243.576567,70.184611,1.0,0.04,1.06,0.15,5782.0,68.03
Kepler-106 b,,,6.16486,0.801029,0.10973,0.065804,0.001316,265.003891,89.68654,1.0,0.06,1.04,0.17,5858.0,114.0
Kepler-106 c,,,13.5708,2.446979,0.318217,0.111355,0.002227,92.542794,31.319702,1.0,0.06,1.04,0.17,5858.0,114.0
Kepler-106 d,,,23.9802,0.932705,0.131676,0.162757,0.003255,43.319105,14.660693,1.0,0.06,1.04,0.17,5858.0,114.0
Kepler-106 e,,,43.8445,2.501844,0.318217,0.243359,0.004867,19.375952,6.557496,1.0,0.06,1.04,0.17,5858.0,114.0
Kepler-1073 b,,,8.678886,2.249465,0.482812,0.082657,0.002755,148.404806,68.226052,1.0,0.1,1.0,0.21,5792.0,252.91
Kepler-1073 c,,,4.025823,1.602058,0.32919,0.049531,0.001651,413.295272,190.003987,1.0,0.1,1.0,0.21,5792.0,252.91
Kepler-1129 b,,,24.33978,2.896872,0.493785,0.16438,0.003288,38.545086,13.66993,1.0,0.06,1.0,0.17,5831.0,134.99
Kepler-1129 c,,,76.536959,2.677412,0.449893,0.352819,0.007056,8.366869,2.967292,1.0,0.06,1.0,0.17,5831.0,134.99
Kepler-1156 b,,,11.895205,1.294814,0.131676,0.101989,0.00102,96.538371,18.055108,1.0,0.04,1.0,0.09,5778.0,67.42
Kepler-1183 b,,,28.505719,2.765196,0.504758,0.182639,0.003653,29.24,10.977386,1.0,0.07,0.99,0.18,5765.0,176.4
Kepler-1220 b,,,7.426937,1.492328,0.318217,0.074504,0.00298,185.291704,85.886534,1.0,0.12,0.99,0.21,5842.0,266.34
Kepler-1286 b,,,11.254029,2.106816,0.43892,0.09829,0.001638,98.108052,40.498052,1.0,0.05,0.98,0.2,5753.0,79.2
Kepler-1328 b,,,4.521589,0.954651,0.197514,0.053518,0.00107,344.095802,141.401164,1.0,0.06,0.99,0.2,5780.0,91.61
Kepler-1365 b,,,7.699935,0.899786,0.131676,0.076318,0.001018,189.024535,55.410728,1.0,0.04,1.05,0.15,5770.0,88.36
