#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
HATS-28 b,,,3.181078,13.101762,0.76811,0.04131,0.00053,408.299565,44.642417,0.93,0.04,0.92,0.04,5498.0,84.0
HATS-63 b,,,3.056653,13.244411,0.427947,0.04026,0.00028,638.002507,16.959058,0.93,0.02,1.07,0.01,5627.0,18.0
K2-138 b,,,2.35322,1.53622,0.274325,0.0338,0.00024,487.911892,93.605971,0.93,0.06,0.86,0.08,5378.0,60.0
K2-138 c,,,3.55987,2.468925,0.32919,0.04454,0.00032,280.979334,53.909441,0.93,0.06,0.86,0.08,5378.0,60.0
K2-138 d,,,5.40478,2.600601,0.384055,0.05883,0.00042,161.056074,30.899556,0.93,0.06,0.86,0.08,5378.0,60.0
K2-138 e,,,8.26144,3.226062,0.340163,0.07807,0.00056,91.454788,17.546601,0.93,0.06,0.86,0.08,5378.0,60.0
K2-138 f,,,12.75759,2.754223,0.351136,0.1043,0.00075,51.239654,9.830292,0.93,0.06,0.86,0.08,5378.0,60.0
K2-172 b,,,14.316941,1.634977,0.153622,0.112642,0.001211,51.694478,5.222875,0.93,0.03,0.87,0.04,5569.0,50.0
K2-172 c,,,29.62682,3.138278,0.186541,0.182918,0.001967,19.603386,1.980599,0.93,0.03,0.87,0.04,5569.0,50.0
K2-183 b,,,0.469269,2.545736,24.974548,0.011537,0.000165,5909.077042,479.711331,0.93,0.04,0.97,0.02,5519.0,88.0
K2-183 c,,,10.792635,2.809088,0.208487,0.0932,0.0012,90.541551,7.261107,0.93,0.04,0.97,0.02,5519.0,88.0
K2-183 d,,,22.631964,2.798115,0.263352,0.1527,0.002,33.728861,2.70978,0.93,0.04,0.97,0.02,5519.0,88.0
K2-19 b,,,7.9194,7.582343,0.384055,0.074,0.0012,105.785828,11.422289,0.93,0.05,0.86,0.04,5430.0,60.0
K2-19 c,,,11.90715,4.762282,0.603515,0.0971,0.0016,61.440179,6.643768,0.93,0.05,0.86,0.04,5430.0,60.0
K2-19 d,,,2.50856,1.119246,0.131676,0.0344,0.0006,489.524064,53.229395,0.93,0.05,0.86,0.04,5430.0,60.0
K2-208 b,,,4.190948,1.64595,0.164595,0.04966,0.000534,262.323358,21.333401,0.93,0.03,0.86,0.03,5582.0,50.0
K2-291 b,,,2.225177,1.558166,0.087784,0.03261,0.00044,637.139371,65.348934,0.93,0.04,0.9,0.04,5520.0,60.0
Kepler-1017 b,,,7.234005,1.953194,0.285298,0.071458,0.001024,119.820836,12.109772,0.93,0.04,0.87,0.03,5473.0,93.16
Kepler-1023 b,,,62.138771,2.578655,0.296271,0.299714,0.004297,7.237938,1.686997,0.93,0.04,0.89,0.1,5494.0,98.69
Kepler-1123 b,,,4.339465,1.634977,0.241406,0.050826,0.000729,258.494524,76.369803,0.93,0.04,0.9,0.13,5500.0,90.52
Kepler-1133 b,,,11.555623,1.931248,0.230433,0.097647,0.00175,73.615027,18.5555,0.93,0.06,0.9,0.1,5569.0,157.93
Kepler-1198 b,,,7.684772,1.437463,0.175568,0.074397,0.001067,122.147926,28.276942,0.93,0.05,0.9,0.1,5517.0,98.45
Kepler-1235 b,,,4.160559,0.76811,0.120703,0.04942,0.000709,281.66477,77.229951,0.93,0.05,0.9,0.12,5541.0,83.29
Kepler-1325 b,,,33.878684,2.798115,0.460866,0.200024,0.002868,17.692252,5.187757,0.93,0.05,0.91,0.13,5550.0,93.24
Kepler-1342 b,,,2.21571,1.624004,0.21946,0.032469,0.000582,645.935749,170.516923,0.93,0.06,0.9,0.11,5527.0,178.84
Kepler-1357 b,,,3.009132,1.250922,0.197514,0.039819,0.000714,451.663448,134.793656,0.93,0.06,0.9,0.13,5597.0,92.01
Kepler-1437 b,,,10.929546,1.338706,0.164595,0.094088,0.001349,78.609349,19.853117,0.93,0.05,0.9,0.11,5557.0,80.38
Kepler-1489 b,,,82.294751,1.733734,0.230433,0.361449,0.006478,5.712371,1.445097,0.93,0.06,0.9,0.11,5655.0,76.91
Kepler-1505 b,,,30.860937,0.910759,0.043892,0.187963,0.002021,19.714054,1.357257,0.93,0.04,0.86,0.03,5686.0,65.36
Kepler-1564 b,,,18.054038,1.437463,0.186541,0.131477,0.001885,39.423494,9.949139,0.93,0.05,0.9,0.11,5528.0,90.36
Kepler-425 b,,,3.797018,10.731594,0.241406,0.0464,0.0008,221.114806,17.5303,0.93,0.05,0.86,0.02,5170.0,70.0
Kepler-523 b,,,5.835983,1.920275,0.076811,0.061926,0.000666,160.740024,10.209294,0.93,0.03,0.86,0.03,5515.0,51.74
Kepler-542 b,,,13.144976,1.53622,0.10973,0.106407,0.001526,60.100662,8.8403,0.93,0.04,0.9,0.06,5526.0,76.12
Kepler-548 b,,,4.454194,11.74111,2.139735,0.051718,0.001668,256.071001,104.749127,0.93,0.09,0.9,0.16,5535.0,265.27
Kepler-554 b,,,1.902209,4.202659,0.263352,0.029329,0.00042,780.353547,113.069588,0.93,0.04,0.92,0.06,5447.0,76.54
Kepler-562 b,,,18.009314,5.102445,0.625461,0.131259,0.002352,40.91652,10.403881,0.93,0.05,0.9,0.11,5575.0,85.33
Kepler-570 b,,,4.301662,2.403087,0.32919,0.050531,0.000724,260.767802,71.238499,0.93,0.04,0.9,0.12,5496.0,88.25
Kepler-571 b,,,4.798599,2.589628,0.318217,0.054351,0.000779,230.526388,58.108923,0.93,0.04,0.9,0.11,5527.0,79.46
Kepler-582 b,,,18.492357,3.599144,0.537677,0.133596,0.003352,40.062559,13.21226,0.93,0.07,0.91,0.13,5564.0,218.22
Kepler-629 b,,,7.238585,1.349679,0.054865,0.071488,0.000769,109.258826,8.122827,0.93,0.03,0.84,0.02,5444.0,71.98
Kepler-646 b,,,15.873646,1.953194,0.362109,0.120666,0.002595,51.627173,15.530807,0.93,0.06,0.91,0.13,5634.0,139.42
Kepler-739 b,,,12.532485,3.248008,0.482812,0.103076,0.001847,67.597115,17.255724,0.93,0.06,0.9,0.11,5601.0,89.95
Kepler-783 b,,,4.292646,0.76811,0.076811,0.05046,0.000543,260.404176,27.165959,0.93,0.04,0.89,0.04,5521.0,66.78
Kepler-796 b,,,6.400876,1.272868,0.351136,0.065861,0.000944,221.734881,122.890433,0.93,0.04,1.09,0.3,5475.0,84.69
Kepler-802 b,,,40.058747,3.467468,0.460866,0.223664,0.003207,13.416707,3.648142,0.93,0.05,0.9,0.12,5507.0,67.23
Kepler-827 b,,,51.929276,5.508446,0.680326,0.265913,0.006672,10.391285,2.890456,0.93,0.07,0.91,0.11,5602.0,179.4
Kepler-865 b,,,14.163993,2.436006,0.482812,0.111838,0.003608,58.683039,26.241935,0.93,0.09,0.92,0.18,5570.0,287.71
Kepler-868 b,,,5.032518,2.008059,0.197514,0.056103,0.001005,225.209291,47.802008,0.93,0.06,0.89,0.09,5614.0,75.11
Kepler-899 b,,,19.178913,2.622547,0.449893,0.136883,0.003925,39.01949,15.081521,0.93,0.08,0.91,0.15,5595.0,270.58
Kepler-921 b,,,51.300634,2.809088,0.713245,0.263763,0.004727,11.028992,2.51572,0.93,0.06,0.91,0.1,5663.0,69.96
Kepler-943 b,,,49.770144,5.804717,0.76811,0.258491,0.004632,11.075381,2.872105,0.93,0.06,0.91,0.11,5612.0,121.64
Kepler-962 b,,,12.057072,1.931248,0.076811,0.100452,0.00108,59.464753,4.390888,0.93,0.03,0.86,0.03,5478.0,72.81
Kepler-964 b,,,13.522511,2.073897,0.087784,0.108435,0.001166,46.897733,3.647928,0.93,0.03,0.84,0.02,5427.0,78.18
